Product code,Station Number,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
IDCJAC0002,066037,1939,null,null,null,22.6,20.6,17.5,15.3,18.5,20.0,20.6,24.0,26.6,null
IDCJAC0002,066037,1940,27.7,27.3,28.4,22.2,18.8,18.0,17.1,18.2,21.1,23.3,23.6,26.1,22.7
IDCJAC0002,066037,1941,24.3,25.5,23.5,22.5,19.6,16.9,17.2,17.1,20.7,20.9,24.3,24.5,21.4
IDCJAC0002,066037,1942,26.8,24.5,24.4,23.0,21.4,18.4,16.8,19.4,21.2,20.8,23.7,24.9,22.1
IDCJAC0002,066037,1943,25.8,27.8,25.0,22.6,19.0,17.0,16.8,15.3,18.4,20.5,20.7,22.7,21.0
IDCJAC0002,066037,1944,26.9,25.8,24.2,21.9,18.8,16.7,16.7,16.3,20.1,23.8,25.9,27.1,22.0
IDCJAC0002,066037,1945,24.6,24.9,24.4,22.1,19.7,17.9,16.1,19.1,19.7,21.7,25.5,25.0,21.7
IDCJAC0002,066037,1946,28.0,26.7,24.0,20.8,20.1,16.7,18.7,19.6,19.7,20.7,24.0,25.9,22.1
IDCJAC0002,066037,1947,25.1,25.6,24.4,21.5,20.9,18.3,17.3,17.5,20.2,22.3,21.1,24.5,21.6
IDCJAC0002,066037,1948,23.1,26.1,23.5,21.4,19.7,16.9,16.1,19.2,19.6,23.6,22.1,24.7,21.3
IDCJAC0002,066037,1949,23.8,26.7,23.3,20.5,18.9,15.3,17.0,17.6,18.5,24.6,23.3,25.1,21.2
IDCJAC0002,066037,1950,26.5,24.2,24.4,21.7,18.6,16.8,16.5,17.0,21.7,21.2,22.3,25.3,21.3
IDCJAC0002,066037,1951,23.9,25.5,25.8,22.0,20.0,17.5,17.0,17.1,21.3,22.4,24.7,25.5,21.9
IDCJAC0002,066037,1952,27.3,25.3,25.9,22.5,18.8,17.8,16.3,17.5,21.0,21.9,23.0,24.2,21.8
IDCJAC0002,066037,1953,24.6,24.4,24.9,24.0,19.9,17.0,17.1,17.5,20.0,20.5,25.1,27.3,21.9
IDCJAC0002,066037,1954,24.3,26.2,25.3,23.8,19.1,17.5,16.7,18.5,17.7,21.8,24.5,24.5,21.7
IDCJAC0002,066037,1955,26.2,25.4,25.4,22.7,19.0,16.4,16.2,18.8,20.0,23.0,24.6,23.5,21.8
IDCJAC0002,066037,1956,25.1,25.1,25.3,24.1,19.1,17.0,16.2,17.4,18.2,21.4,24.0,26.0,21.6
IDCJAC0002,066037,1957,25.1,24.5,24.6,23.8,21.2,20.4,15.8,17.3,19.8,22.8,26.5,28.0,22.5
IDCJAC0002,066037,1958,25.1,26.9,26.9,23.4,22.8,17.9,16.9,18.5,18.6,23.4,25.7,24.9,22.6
IDCJAC0002,066037,1959,26.2,27.0,25.4,23.5,19.4,17.8,17.2,18.5,20.0,20.0,24.5,25.3,22.1
IDCJAC0002,066037,1960,28.8,25.7,24.5,23.6,19.4,16.2,17.7,17.4,19.7,22.3,22.8,22.9,21.8
IDCJAC0002,066037,1961,25.8,26.0,25.6,22.8,19.3,17.5,16.7,16.8,19.6,23.1,23.5,24.8,21.8
IDCJAC0002,066037,1962,24.7,25.8,24.9,21.8,18.8,18.8,17.4,17.7,20.3,21.9,24.1,23.9,21.7
IDCJAC0002,066037,1963,25.9,26.4,24.6,22.8,19.6,16.7,16.5,16.9,19.9,21.5,22.3,25.4,21.5
IDCJAC0002,066037,1964,27.9,26.1,25.4,22.5,19.5,17.8,17.5,18.5,21.3,21.5,24.5,26.1,22.4
IDCJAC0002,066037,1965,23.9,26.4,27.2,22.1,20.9,18.1,16.5,18.3,21.9,22.7,24.1,24.7,22.2
IDCJAC0002,066037,1966,26.1,25.4,25.0,23.2,19.3,17.4,16.3,17.1,19.1,20.8,24.6,24.7,21.6
IDCJAC0002,066037,1967,27.5,25.2,23.8,23.0,20.2,17.8,16.9,16.7,19.2,21.7,24.6,24.6,21.8
IDCJAC0002,066037,1968,26.2,27.5,26.6,25.2,19.4,16.4,16.0,19.0,20.6,24.8,26.7,23.8,22.7
IDCJAC0002,066037,1969,28.0,25.8,25.4,24.0,19.3,17.0,17.9,19.1,18.3,20.9,22.5,25.9,22.0
IDCJAC0002,066037,1970,26.3,26.7,24.9,23.4,18.2,18.1,17.9,18.0,18.7,23.6,22.9,26.1,22.1
IDCJAC0002,066037,1971,25.4,26.4,25.6,23.3,19.9,16.8,15.9,18.2,20.6,24.5,22.8,24.9,22.0
IDCJAC0002,066037,1972,24.5,25.7,23.9,22.3,19.1,17.3,17.6,19.1,22.5,21.6,23.2,28.5,22.1
IDCJAC0002,066037,1973,27.6,26.8,25.8,24.4,21.3,17.7,18.1,18.1,22.0,22.5,24.9,26.4,23.0
IDCJAC0002,066037,1974,25.9,25.6,25.0,23.1,20.1,17.1,17.3,17.5,19.3,21.1,22.7,26.0,21.7
IDCJAC0002,066037,1975,27.0,26.1,25.3,21.7,20.7,17.3,18.7,18.0,20.5,22.2,25.1,26.7,22.4
IDCJAC0002,066037,1976,25.3,25.9,24.9,22.7,20.6,17.9,16.8,18.0,18.7,19.9,23.0,28.6,21.9
IDCJAC0002,066037,1977,27.8,26.4,26.3,23.7,19.9,16.8,16.3,19.5,18.5,24.7,25.4,27.8,22.8
IDCJAC0002,066037,1978,26.8,29.1,26.0,22.7,20.9,16.6,16.3,17.3,18.9,21.6,23.3,24.2,22.0
IDCJAC0002,066037,1979,27.7,27.5,25.1,22.9,18.7,18.2,17.3,18.2,20.5,22.6,24.5,28.3,22.6
IDCJAC0002,066037,1980,27.2,26.9,26.5,23.8,20.7,18.0,16.7,20.5,24.0,23.1,25.8,27.5,23.4
IDCJAC0002,066037,1981,27.2,26.2,26.2,24.6,20.1,17.5,17.1,17.8,21.9,22.8,22.0,26.0,22.5
IDCJAC0002,066037,1982,27.0,27.3,24.7,23.3,21.5,16.1,15.3,20.0,20.1,21.6,25.7,25.9,22.4
IDCJAC0002,066037,1983,27.5,28.2,27.0,20.8,20.3,16.5,16.2,17.8,21.9,21.3,23.9,25.1,22.2
IDCJAC0002,066037,1984,25.5,26.4,23.6,22.2,19.3,17.8,15.7,18.7,19.5,22.1,24.7,25.5,21.8
IDCJAC0002,066037,1985,27.3,24.7,25.8,22.1,19.7,17.3,16.6,17.3,19.2,21.8,23.3,27.6,21.9
IDCJAC0002,066037,1986,26.2,26.4,25.9,25.1,20.1,17.2,17.2,17.6,20.6,22.5,21.8,24.9,22.1
IDCJAC0002,066037,1987,27.1,27.2,24.0,23.1,20.2,18.0,16.5,18.3,21.6,21.3,25.0,24.7,22.3
IDCJAC0002,066037,1988,27.2,25.7,24.9,22.0,20.4,18.3,18.5,19.1,21.9,27.0,23.6,25.8,22.9
IDCJAC0002,066037,1989,25.1,26.4,25.0,22.9,20.5,16.7,16.2,17.0,20.6,24.1,23.6,25.5,22.0
IDCJAC0002,066037,1990,25.6,25.1,25.0,23.1,20.9,17.3,17.5,17.4,19.1,22.3,25.0,29.2,22.3
IDCJAC0002,066037,1991,29.2,28.7,26.0,23.0,19.8,19.4,16.4,18.7,21.3,24.1,23.7,24.8,22.9
IDCJAC0002,066037,1992,25.6,25.0,25.5,22.7,19.7,17.3,18.1,18.0,19.7,21.4,22.7,24.3,21.7
IDCJAC0002,066037,1993,27.7,27.9,24.3,23.8,20.3,17.3,17.6,19.0,19.7,22.7,23.5,26.2,22.5
IDCJAC0002,066037,1994,29.1,27.3,23.4,23.3,20.8,17.5,17.4,18.1,21.4,22.6,24.7,25.3,22.6
IDCJAC0002,066037,1995,25.2,25.6,24.8,21.8,20.0,17.1,16.6,21.1,19.0,21.8,24.8,23.9,21.8
IDCJAC0002,066037,1996,25.5,24.8,24.6,23.1,20.5,18.1,17.2,18.9,21.9,22.3,24.1,24.7,22.1
IDCJAC0002,066037,1997,24.2,26.3,25.4,24.2,19.9,17.7,16.2,18.6,19.2,23.4,25.7,27.5,22.4
IDCJAC0002,066037,1998,28.3,29.4,26.8,23.3,20.1,17.5,16.2,18.0,21.8,23.7,21.5,26.0,22.7
